CI Name (aff);CI Type (aff);CI Subtype (aff);Service Component WBS (aff);Incident ID;Status;Impact;Urgency;Priority;Category;KM number;Alert Status;# Reassignments;Open Time;Reopen Time;Resolved Time;Close Time;Handle Time (Hours);Closure Code;# Related Interactions;Related Interaction;# Related Incidents;# Related Changes;Related Change;CI Name (CBy);CI Type (CBy);CI Subtype (CBy);ServiceComp WBS (CBy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000035;Closed;4;4;4;incident;KM0000611;closed;6;24/12/2012 16:31:41;;14/11/2013 09:49:34;14/11/2013 09:49:58;1930,483333;Referred;1;SD0000058;2;;;WBA000109;application;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000116;application;Web Based Application;WBS000066;IM0000038;Closed;4;4;4;incident;KM0000579;closed;4;15/01/2013 15:36:32;;29/01/2014 15:01:08;29/01/2014 15:01:15;2781,911944;Software;1;SD0000063;1;;;SUB000522;subapplication;Web Based Application;WBS000066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000041;Closed;4;4;4;incident;KM0000611;closed;2;22/01/2013 16:38:20;;08/11/2013 14:55:25;08/11/2013 14:55:29;2150,785833;Other;1;SD0000065;;;;WBA000124;application;Web Based Application;WBS000088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000042;Closed;4;4;4;incident;KM0000611;closed;12;23/01/2013 14:39:32;;08/11/2013 15:21:36;08/11/2013 15:22:18;2142,712778;No error - works as designed;1;SD0000068;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000535;subapplication;Web Based Application;WBS000066;IM0000045;Closed;4;4;4;incident;KM0000928;closed;7;30/01/2013 16:37:11;;27/01/2014 12:33:05;27/01/2014 12:33:10;1118,525;Software;1;SD0000072;;;;SUB000535;subapplication;Web Based Application;WBS000066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000535;subapplication;Web Based Application;WBS000066;IM0000046;Closed;4;4;4;incident;KM0000931;closed;3;31/01/2013 17:27:21;;12/02/2014 09:05:44;12/02/2014 09:05:52;2760,606389;Other;1;SD0000073;1;;;SUB000535;subapplication;Web Based Application;WBS000066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000082;application;Web Based Application;WBS000055;IM0000047;Closed;4;4;4;incident;KM0000401;closed;4;04/02/2013 14:38:28;;02/01/2014 15:22:18;02/01/2014 15:22:30;2447,233889;Other;1;SD0000074;;;;WBA000082;application;Web Based Application;WBS000055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000662;application;Server Based Application;WBS000071;IM0000048;Closed;5;5;5;request for information;KM0000524;closed;0;06/02/2013 14:07:43;17/10/2013 12:22:40;17/10/2013 14:00:26;17/10/2013 14:00:29;3,885555556;No error - works as designed;2;#MULTIVALUE;;;;WSR000394;computer;Windows Server;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0000049;Closed;5;5;5;request for information;KM0000592;closed;11;08/02/2013 10:47:28;;17/10/2013 15:40:07;17/10/2013 15:40:23;1852,881944;Other;1;SD0000076;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000263;application;Server Based Application;WBS000072;IM0000053;Closed;5;5;5;request for information;KM0001104;closed;2;18/02/2013 11:59:54;04/12/2013 13:58:20;;04/12/2013 14:00:09;27,74555556;Other;2;#MULTIVALUE;;;;SBA000263;application;Server Based Application;WBS000072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000055;Closed;4;4;4;incident;KM0000611;closed;9;19/02/2013 11:52:03;;23/12/2013 13:03:51;23/12/2013 13:04:33;2050,36;Other;1;SD0000081;;;;SUB000453;subapplication;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000056;Closed;4;4;4;incident;KM0000611;closed;2;20/02/2013 10:14:37;;08/11/2013 13:56:54;08/11/2013 13:57:15;1935,710556;Other;1;SD0000082;;;;SUB000508;subapplication;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000433;subapplication;Web Based Application;WBS000073;IM0000057;Closed;4;4;4;incident;KM0000791;closed;1;25/02/2013 16:03:52;;12/03/2014 10:15:40;12/03/2014 10:16:22;2764,633056;Other;3;#MULTIVALUE;;;;SUB000433;subapplication;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000058;Closed;4;4;4;incident;KM0000611;closed;2;26/02/2013 16:44:41;;12/11/2013 13:40:07;12/11/2013 13:40:13;6,1125;Other;1;SD0000085;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000059;Closed;4;4;4;incident;KM0000611;closed;2;28/02/2013 12:23:11;03/12/2013 08:57:55;03/12/2013 10:36:18;03/12/2013 10:36:32;88,67166667;Other;2;#MULTIVALUE;;;;SUB000453;subapplication;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000133;application;Web Based Application;WBS000073;IM0000060;Closed;4;4;4;incident;KM0001633;closed;0;28/02/2013 16:49:58;;20/11/2013 16:38:17;20/11/2013 16:38:20;1917,175278;No error - works as designed;1;SD0000086;;;;WBA000133;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000431;subapplication;Web Based Application;WBS000066;IM0000061;Closed;5;5;5;request for information;KM0000603;closed;3;01/03/2013 10:19:12;24/01/2014 15:20:25;;27/01/2014 12:44:41;23,33;Software;2;#MULTIVALUE;;;;SUB000431;subapplication;Web Based Application;WBS000066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000508;subapplication;Web Based Application;WBS000162;IM0000062;Closed;4;4;4;incident;KM0000553;closed;2;04/03/2013 12:31:12;;08/11/2013 15:33:42;08/11/2013 15:33:45;49,11166667;No error - works as designed;1;SD0000087;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000064;Closed;3;3;3;incident;KM0000611;closed;4;05/03/2013 13:58:02;;08/11/2013 15:35:33;08/11/2013 15:35:36;2,162222222;Software;1;SD0000090;;2;#MULTIVALUE;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000314;application;Server Based Application;WBS000054;IM0000067;Closed;5;5;5;incident;KM0000650;closed;25;11/03/2013 09:08:37;08/10/2013 09:14:33;09/10/2013 13:41:08;09/10/2013 13:41:13;873,9805556;Other;2;#MULTIVALUE;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000508;subapplication;Web Based Application;WBS000162;IM0000068;Closed;4;4;4;incident;KM0000553;closed;8;12/03/2013 09:54:11;;08/11/2013 15:34:37;08/11/2013 15:34:40;319,7894444;No error - works as designed;1;SD0000093;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000071;Closed;4;4;4;incident;KM0000611;closed;4;15/03/2013 15:25:20;03/01/2014 14:14:24;06/01/2014 11:50:42;06/01/2014 11:51:05;19,22361111;Other;2;#MULTIVALUE;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAP000005;application;SAP;WBS000271;IM0000073;Closed;5;5;5;request for information;KM0001124;closed;30;21/03/2013 14:54:33;;01/10/2013 07:52:43;01/10/2013 07:52:46;683,9630556;Other;1;SD0000099;;;;SAP000005;application;SAP;WBS000271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000508;subapplication;Web Based Application;WBS000162;IM0000074;Closed;3;3;3;incident;KM0000553;closed;15;26/03/2013 12:23:29;24/03/2014 12:35:19;24/03/2014 13:28:07;24/03/2014 13:28:35;1564,190278;Other;2;#MULTIVALUE;1;1;C00000308;SUB000489;subapplication;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000456;subapplication;Web Based Application;WBS000073;IM0000075;Closed;4;4;4;incident;KM0000741;closed;9;27/03/2013 10:07:53;10/04/2013 09:15:55;30/12/2013 10:34:25;30/12/2013 10:36:43;37,655;Data;3;#MULTIVALUE;1;;;SUB000456;subapplication;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAP000004;application;SAP;WBS000271;IM0000078;Closed;5;5;5;request for information;KM0001572;closed;37;03/04/2013 12:11:55;;17/10/2013 11:43:47;17/10/2013 11:43:55;1459,033333;Software;1;SD0000103;;;;SAP000004;application;SAP;WBS000271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAP000003;application;SAP;WBS000271;IM0000080;Closed;4;4;4;incident;KM0001163;closed;26;04/04/2013 12:33:18;21/10/2013 08:50:41;16/01/2014 14:20:52;16/01/2014 14:21:01;1806,278611;Other;2;#MULTIVALUE;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000462;application;Server Based Application;WBS000073;IM0000081;Closed;4;3;3;incident;KM0001363;closed;7;05/04/2013 10:17:55;;30/12/2013 10:39:21;30/12/2013 10:40:11;19,24111111;Other;1;SD0000105;;;;SBA000462;application;Server Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000133;application;Web Based Application;WBS000073;IM0000082;Closed;4;4;4;incident;KM0001311;closed;6;05/04/2013 10:19:12;18/11/2013 09:46:00;05/12/2013 12:00:04;05/12/2013 12:00:07;122,32;Other;2;#MULTIVALUE;;;;WBA000133;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000083;Closed;4;4;4;incident;KM0000611;closed;2;09/04/2013 12:49:06;;08/11/2013 15:36:30;08/11/2013 15:36:34;177,8691667;Software;1;SD0000106;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000082;application;Web Based Application;WBS000055;IM0000084;Closed;4;4;4;incident;KM0000401;closed;4;10/04/2013 13:20:16;;08/11/2013 15:41:22;08/11/2013 15:41:25;1566,8525;No error - works as designed;1;SD0000108;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000085;Closed;3;4;3;incident;KM0000611;closed;4;10/04/2013 15:13:52;;08/11/2013 15:46:27;08/11/2013 15:46:30;1575,543889;No error - works as designed;1;SD0000109;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAP000004;application;SAP;WBS000271;IM0000088;Closed;5;5;5;request for information;KM0001264;closed;32;16/04/2013 11:07:50;12/11/2013 12:04:22;12/11/2013 12:13:08;12/11/2013 12:13:11;706,115;Other;2;#MULTIVALUE;1;;;SAP000004;application;SAP;WBS000271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBA000014;application;Client Based Application;WBS000073;IM0000089;Closed;4;4;4;incident;KM0001346;closed;9;16/04/2013 14:51:28;;27/11/2013 14:23:11;27/11/2013 14:23:14;1638,633056;Software;14;#MULTIVALUE;1;;;CBA000014;application;Client Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000045;application;Server Based Application;WBS000170;IM0000090;Closed;5;5;5;incident;KM0000565;closed;1;17/04/2013 09:06:59;;22/01/2014 16:19:35;22/01/2014 16:20:00;21,97;Unknown;1;SD0000113;1;1;C00000582;SBA000045;application;Server Based Application;WBS000170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000172;application;Server Based Application;WBS000014;IM0000091;Closed;4;4;4;incident;KM0000426;closed;1;17/04/2013 14:31:53;;08/10/2013 11:19:42;08/10/2013 11:25:14;1,390555556;Other;1;SD0000114;;;;SSW000101;software;System Software;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000607;application;Server Based Application;WBS000263;IM0000092;Closed;5;5;5;request for information;KM0000592;closed;12;17/04/2013 16:20:10;;30/01/2014 09:19:24;30/01/2014 09:19:27;1042,109167;Other;1;SD0000115;1;;;SBA000607;application;Server Based Application;WBS000263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000002;subapplication;Citrix;WBS000098;IM0000094;Closed;4;4;4;incident;KM0001435;closed;4;19/04/2013 08:26:24;;16/10/2013 12:20:32;16/10/2013 12:20:35;1326,903056;Software;2;#MULTIVALUE;;;;SUB000002;subapplication;Citrix;WBS000098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STA000033;application;Standard Application;WBS000066;IM0000095;Closed;4;4;4;incident;KM0000575;closed;8;22/04/2013 12:07:01;;29/01/2014 15:31:28;29/01/2014 15:31:33;2082,408889;Software;1;SD0000119;;;;STA000033;application;Standard Application;WBS000066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000133;application;Web Based Application;WBS000073;IM0000098;Closed;4;5;4;incident;KM0000711;closed;1;24/04/2013 15:24:39;;12/10/2013 16:28:14;12/10/2013 16:28:52;1252,089167;Other;1;SD0000122;;;;WBA000133;application;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000782;application;Server Based Application;WBS000043;IM0000099;Closed;3;3;3;incident;KM0000220;closed;1;25/04/2013 10:20:24;;09/12/2013 14:32:50;09/12/2013 14:32:52;1684,207778;Other;1;SD0000125;;;;SBA000782;application;Server Based Application;WBS000043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000100;Closed;4;4;4;incident;KM0000611;closed;8;25/04/2013 14:37:17;;12/11/2013 13:32:31;12/11/2013 13:32:36;61,785;Other;1;SD0000127;1;;;WBA000124;application;Web Based Application;WBS000088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000116;application;Web Based Application;WBS000066;IM0000101;Closed;4;4;4;incident;KM0000579;closed;2;25/04/2013 14:51:29;;12/11/2013 13:25:26;12/11/2013 13:26:39;1479,086111;Hardware;1;SD0000128;;;;WBA000116;application;Web Based Application;WBS000066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000103;Closed;4;4;4;incident;KM0000611;closed;4;26/04/2013 15:33:26;;12/11/2013 13:33:42;12/11/2013 13:33:45;1468,005278;Other;1;SD0000129;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000104;Closed;4;4;4;incident;KM0000611;closed;4;01/05/2013 11:47:00;;12/11/2013 13:34:37;12/11/2013 13:34:41;2,534444444;Other;1;SD0000131;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000105;Closed;5;5;5;incident;KM0000611;closed;9;03/05/2013 12:00:59;;09/01/2014 14:27:44;09/01/2014 14:27:47;557,8327778;Software;1;SD0000134;;;;WBA000124;application;Web Based Application;WBS000088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000508;subapplication;Web Based Application;WBS000162;IM0000106;Closed;4;4;4;incident;KM0000553;closed;4;06/05/2013 10:11:12;;12/11/2013 13:35:47;12/11/2013 13:35:50;1,754444444;Other;1;SD0000136;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000107;Closed;4;4;4;incident;KM0000611;closed;2;06/05/2013 13:50:45;;12/11/2013 14:03:09;12/11/2013 14:03:56;1407,219722;Unknown;1;SD0000137;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000458;application;Server Based Application;WBS000073;IM0000109;Closed;4;4;4;incident;KM0001539;closed;8;07/05/2013 11:44:03;;20/12/2013 15:33:08;20/12/2013 15:33:27;1570,409167;Other;1;SD0000139;;;;SBA000458;application;Server Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000033;application;Server Based Application;WBS000086;IM0000110;Closed;4;4;4;incident;KM0000041;closed;3;07/05/2013 11:44:56;;07/01/2014 09:50:05;07/01/2014 09:50:45;3,568333333;No error - works as designed;1;SD0000138;;;;SBA000033;application;Server Based Application;WBS000086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000111;Closed;4;4;4;incident;KM0000611;closed;13;07/05/2013 14:04:27;;05/12/2013 11:19:14;05/12/2013 11:19:20;1495,071111;Other;1;SD0000141;;;;WBA000124;application;Web Based Application;WBS000088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBA000014;application;Client Based Application;WBS000073;IM0000112;Closed;5;5;5;incident;KM0001723;closed;15;07/05/2013 15:04:20;17/05/2013 09:08:10;;09/12/2013 08:42:28;1248,674444;Other;2;#MULTIVALUE;;;;CBA000014;application;Client Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
