CI Name (aff);CI Type (aff);CI Subtype (aff);Service Comp WBS (aff);Interaction ID;Status;Impact;Urgency;Priority;Category;KM number;Open Time (First Touch);Close Time;Closure Code;First Call Resolution;Handle Time (secs);Related Incident
WBA000133;application;Web Based Application;WBS000073;SD0000027;Closed;5;5;5;request for information;KM0000792;20-7-2012 8:59;7-2-2014 12:20;User error;N;553;
SBA000767;application;Server Based Application;WBS000088;SD0000028;Closed;5;4;4;incident;KM0001126;26-7-2012 12:19;7-2-2014 12:35;Software;N;1335;
WBA000124;application;Web Based Application;WBS000088;SD0000029;Closed;4;4;4;incident;KM0000611;10-8-2012 10:57;8-11-2013 13:56;Other;N;238;IM0000012
WBA000133;application;Web Based Application;WBS000073;SD0000030;Closed;5;5;5;request for information;KM0000792;10-8-2012 9:09;7-2-2014 12:20;User manual not used;N;459;
WBA000124;application;Web Based Application;WBS000088;SD0000031;Closed;4;4;4;incident;KM0000611;10-8-2012 11:25;8-11-2013 13:54;Other;N;138;IM0000013
WBA000133;application;Web Based Application;WBS000073;SD0000032;Closed;5;5;5;request for information;KM0000792;14-8-2012 12:07;7-2-2014 12:21;Other;N;366;
WBA000082;application;Web Based Application;WBS000055;SD0000033;Closed;4;4;4;incident;KM0000401;15-8-2012 14:00;27-12-2013 10:59;Unknown;N;1028;IM0000014
WBA000124;application;Web Based Application;WBS000088;SD0000034;Closed;4;4;4;incident;KM0000611;22-8-2012 16:25;8-11-2013 14:10;Other;N;372;IM0000015
SBA000017;application;Server Based Application;WBS000099;SD0000035;Closed;5;5;5;incident;KM0000480;28-8-2012 10:41;22-10-2013 9:52;User error;N;109;IM0000016
WBA000124;application;Web Based Application;WBS000088;SD0000036;Closed;4;4;4;incident;KM0000611;29-8-2012 15:51;8-11-2013 14:02;Other;N;464;IM0000017
WBA000082;application;Web Based Application;WBS000055;SD0000037;Closed;4;4;4;incident;KM0000401;3-9-2012 15:49;8-11-2013 14:36;No error - works as designed;N;855;IM0000018
WBA000133;application;Web Based Application;WBS000073;SD0000038;Closed;5;5;5;request for information;KM0000792;12-9-2012 9:44;24-12-2013 15:36;Other;N;316;
SBA000729;application;Server Based Application;WBS000101;SD0000039;Closed;4;4;4;incident;KM0000919;17-9-2012 9:27;7-2-2014 12:16;Other;N;1006;
WBA000124;application;Web Based Application;WBS000088;SD0000040;Closed;4;4;4;incident;KM0000611;21-9-2012 12:54;8-11-2013 14:24;Software;N;158;IM0000019
SUB000456;subapplication;Web Based Application;WBS000073;SD0000041;Closed;4;4;4;incident;KM0001095;24-9-2012 12:48;7-2-2014 12:19;Unknown;N;569;
WBA000124;application;Web Based Application;WBS000088;SD0000042;Closed;4;4;4;incident;KM0000611;1-10-2012 10:44;8-11-2013 14:22;Software;N;325;IM0000020
WBA000124;application;Web Based Application;WBS000088;SD0000043;Closed;4;4;4;incident;KM0000611;15-10-2012 15:39;14-11-2013 13:34;Software;N;673;IM0000022
SUB000521;subapplication;Web Based Application;WBS000073;SD0000044;Closed;4;4;4;incident;KM0000813;16-10-2012 15:57;24-12-2013 15:51;Other;N;435;IM0000002
SBA000698;application;Server Based Application;WBS000090;SD0000045;Closed;3;3;3;incident;KM0000670;18-10-2012 14:25;12-12-2013 10:25;Data;N;430;IM0000023
WBA000082;application;Web Based Application;WBS000055;SD0000046;Closed;4;4;4;incident;KM0000401;23-10-2012 11:50;8-11-2013 14:58;Other;N;622;IM0000024
WBA000034;application;Web Based Application;WBS000277;SD0000047;Closed;3;3;3;incident;KM0000953;23-10-2012 14:09;7-2-2014 12:21;Other;N;699;
MON00015;displaydevice;Monitor;WBS000091;SD0000048;Closed;3;3;3;incident;KM0001312;26-10-2012 8:56;13-11-2013 9:05;Other;N;537;IM0000009
WBA000133;application;Web Based Application;WBS000073;SD0000049;Closed;5;5;5;request for information;KM0000792;2-11-2012 10:46;10-2-2014 10:11;Other;N;144;
WBA000133;application;Web Based Application;WBS000073;SD0000050;Closed;5;5;5;request for information;KM0000792;7-11-2012 11:53;2-12-2013 10:54;Unknown;N;225;IM0000026
SAN000182;storage;SAN;WBS000128;SD0000051;Closed;5;5;5;complaint;KM0000386;9-11-2012 9:30;10-2-2014 10:12;Overig;N;362;IM0000027
SUB000482;subapplication;Web Based Application;WBS000073;SD0000052;Closed;5;5;5;request for information;KM0000810;9-11-2012 10:27;7-2-2014 12:17;No error - works as designed;N;782;
SUB000539;subapplication;Web Based Application;WBS000073;SD0000053;Closed;4;4;4;incident;KM0000852;21-11-2012 11:41;20-12-2013 11:31;Other;N;740;IM0000028
LAP000698;computer;Laptop;WBS000091;SD0000054;Closed;5;5;5;incident;KM0001444;29-11-2012 7:58;13-11-2013 9:06;Software;N;1207;IM0000029
SUB000535;subapplication;Web Based Application;WBS000066;SD0000055;Closed;4;4;4;incident;KM0000928;5-12-2012 15:13;30-10-2013 8:45;Unknown;N;217;IM0000031
DTA000616;application;Desktop Application;WBS000092;SD0000056;Closed;3;3;3;incident;KM0001430;7-12-2012 14:19;30-11-2013 10:39;Other;N;908;IM0000033
SUB000521;subapplication;Web Based Application;WBS000073;SD0000057;Closed;4;4;4;incident;KM0000813;18-12-2012 14:01;23-12-2013 8:48;Other;N;848;#MULTIVALUE
WBA000124;application;Web Based Application;WBS000088;SD0000058;Closed;4;4;4;incident;KM0000611;24-12-2012 16:23;14-11-2013 9:50;Referred;N;471;IM0000035
SBA000458;application;Server Based Application;WBS000073;SD0000059;Closed;5;5;5;request for information;KM0001540;4-1-2013 13:30;7-2-2014 13:54;Other;N;809;IM0000036
DTA000056;application;Desktop Application;WBS000091;SD0000060;Closed;3;3;3;service request;KM0001309;10-1-2013 11:28;10-10-2013 14:15;Other;N;341;
SUB000521;subapplication;Web Based Application;WBS000073;SD0000061;Closed;4;4;4;incident;KM0001496;14-1-2013 14:44;23-12-2013 8:48;Other;N;1103;IM0000002
LAP000744;computer;Laptop;WBS000091;SD0000062;Closed;5;5;5;incident;KM0001444;15-1-2013 11:29;13-11-2013 9:10;Software;N;239;IM0000037
WBA000116;application;Web Based Application;WBS000066;SD0000063;Closed;4;4;4;incident;KM0000579;15-1-2013 15:27;29-1-2014 15:01;Software;N;518;IM0000038
SBA000458;application;Server Based Application;WBS000073;SD0000064;Closed;5;5;5;request for information;KM0001540;16-1-2013 14:09;7-2-2014 12:17;No error - works as designed;N;650;IM0000039
WBA000124;application;Web Based Application;WBS000088;SD0000065;Closed;4;4;4;incident;KM0000611;22-1-2013 16:12;8-11-2013 14:56;Other;N;1529;IM0000041
SBA000317;application;Server Based Application;WBS000048;SD0000066;Closed;4;4;4;incident;KM0000313;22-1-2013 16:28;6-11-2013 12:04;Other;N;1028;
SUB000545;subapplication;Web Based Application;WBS000073;SD0000067;Closed;4;4;4;incident;KM0001201;23-1-2013 8:08;1-10-2013 10:27;Software;N;306;IM0000007
WBA000124;application;Web Based Application;WBS000088;SD0000068;Closed;4;4;4;incident;KM0000611;23-1-2013 14:26;8-11-2013 15:22;No error - works as designed;N;785;IM0000042
SBA000788;application;Server Based Application;WBS000285;SD0000069;Closed;2;2;2;incident;KM0001135;25-1-2013 7:28;7-2-2014 13:20;Other;N;188;IM0000043
DTA000031;application;Desktop Application;WBS000111;SD0000070;Closed;5;5;5;request for information;KM0001175;28-1-2013 14:33;3-1-2014 10:29;Inquiry;N;1150;
SBA000458;application;Server Based Application;WBS000073;SD0000071;Closed;5;5;5;request for information;KM0001540;28-1-2013 16:34;7-2-2014 12:33;Other;N;221;IM0000044
SUB000535;subapplication;Web Based Application;WBS000066;SD0000072;Closed;4;4;4;incident;KM0000928;30-1-2013 16:32;27-1-2014 12:33;Software;N;265;IM0000045
SUB000535;subapplication;Web Based Application;WBS000066;SD0000073;Closed;4;4;4;incident;KM0000931;31-1-2013 17:21;12-2-2014 9:07;Other;N;366;IM0000046
WBA000082;application;Web Based Application;WBS000055;SD0000074;Closed;4;4;4;incident;KM0000401;4-2-2013 14:30;2-1-2014 15:23;Other;N;460;IM0000047
SUB000521;subapplication;Web Based Application;WBS000073;SD0000075;Closed;4;4;4;incident;KM0001496;7-2-2013 10:29;21-10-2013 9:25;Other;N;250;IM0000002
SBA000607;application;Server Based Application;WBS000263;SD0000076;Closed;5;5;5;request for information;KM0000592;8-2-2013 10:45;17-10-2013 15:40;Other;N;123;IM0000049
SBA000458;application;Server Based Application;WBS000073;SD0000077;Closed;5;5;5;request for information;KM0001540;11-2-2013 15:44;7-2-2014 12:16;Other;N;234;IM0000050
DTA000056;application;Desktop Application;WBS000091;SD0000078;Closed;3;3;3;service request;KM0001309;12-2-2013 8:44;28-11-2013 8:03;Other;N;398;
SBA000458;application;Server Based Application;WBS000073;SD0000079;Closed;5;5;5;request for information;KM0001540;15-2-2013 14:54;7-2-2014 12:33;No error - works as designed;N;497;IM0000052
WBA000122;application;Web Based Application;WBS000298;SD0000080;Closed;3;3;3;incident;KM0001552;19-2-2013 10:32;7-2-2014 12:37;Other;N;847;IM0000054
WBA000124;application;Web Based Application;WBS000088;SD0000081;Closed;4;4;4;incident;KM0000611;19-2-2013 11:46;23-12-2013 13:05;Other;N;303;IM0000055
WBA000124;application;Web Based Application;WBS000088;SD0000082;Closed;4;4;4;incident;KM0000611;20-2-2013 10:04;8-11-2013 13:57;Other;N;611;IM0000056
KVM000001;hardware;KVM Switches;WBS000187;SD0000083;Closed;5;5;5;incident;KM0001573;22-2-2013 9:21;13-11-2013 9:11;Hardware;N;614;IM0000051
SUB000433;subapplication;Web Based Application;WBS000073;SD0000084;Closed;4;4;4;incident;KM0000791;25-2-2013 15:51;12-3-2014 10:17;Other;N;747;IM0000057
WBA000124;application;Web Based Application;WBS000088;SD0000085;Closed;4;4;4;incident;KM0000611;26-2-2013 16:40;12-11-2013 13:41;Other;N;254;IM0000058
WBA000133;application;Web Based Application;WBS000073;SD0000086;Closed;4;4;4;incident;KM0001633;28-2-2013 16:43;20-11-2013 16:38;No error - works as designed;N;376;IM0000060
SUB000508;subapplication;Web Based Application;WBS000162;SD0000087;Closed;4;4;4;incident;KM0000553;4-3-2013 12:19;8-11-2013 15:33;No error - works as designed;N;691;IM0000062
SBA000767;application;Server Based Application;WBS000088;SD0000088;Closed;5;4;4;incident;KM0001126;5-3-2013 10:48;7-2-2014 12:34;User error;N;892;IM0000063
SBA000160;application;Server Based Application;WBS000033;SD0000089;Closed;3;3;3;incident;KM0000528;5-3-2013 13:45;7-1-2014 9:27;Software;N;748;IM0000040
WBA000124;application;Web Based Application;WBS000088;SD0000090;Closed;4;4;4;incident;KM0000611;5-3-2013 13:55;8-11-2013 15:36;Software;N;165;IM0000064
WBA000122;application;Web Based Application;WBS000298;SD0000091;Closed;3;3;3;incident;KM0001552;5-3-2013 15:37;7-2-2014 12:18;No error - works as designed;N;614;IM0000065
WBA000122;application;Web Based Application;WBS000298;SD0000092;Closed;3;3;3;incident;KM0001552;7-3-2013 16:04;7-2-2014 12:18;Other;N;439;IM0000066
SUB000508;subapplication;Web Based Application;WBS000162;SD0000093;Closed;4;4;4;incident;KM0000553;12-3-2013 9:51;8-11-2013 15:35;No error - works as designed;N;140;IM0000068
SUB000521;subapplication;Web Based Application;WBS000073;SD0000094;Closed;4;4;4;incident;KM0001496;12-3-2013 10:33;23-12-2013 8:49;Other;N;162;IM0000069
DTA000056;application;Desktop Application;WBS000091;SD0000095;Closed;3;3;3;service request;KM0001309;12-3-2013 11:41;6-1-2014 20:18;Other;N;33;
WBA000124;application;Web Based Application;WBS000088;SD0000096;Closed;4;4;4;incident;KM0000611;15-3-2013 15:18;8-11-2013 15:33;No error - works as designed;N;414;IM0000071
LAP000520;computer;Laptop;WBS000091;SD0000097;Closed;5;5;5;incident;KM0000318;18-3-2013 10:40;13-11-2013 9:13;User error;N;531;IM0000072
SBA000767;application;Server Based Application;WBS000088;SD0000098;Closed;5;4;4;incident;KM0001126;18-3-2013 14:38;2-12-2013 10:55;Other;N;117;IM0000070
SAP000005;application;SAP;WBS000271;SD0000099;Closed;5;5;5;request for information;KM0001124;21-3-2013 14:53;1-10-2013 7:53;Other;N;82;IM0000073
SUB000508;subapplication;Web Based Application;WBS000162;SD0000100;Closed;4;4;4;incident;KM0000553;26-3-2013 12:10;12-11-2013 10:15;Other;N;783;IM0000074
DTA000035;application;Desktop Application;WBS000220;SD0000101;Closed;3;3;3;incident;KM0000347;29-3-2013 12:07;7-2-2014 12:19;Other;N;444;IM0000076
SBA000590;application;Server Based Application;WBS000149;SD0000102;Closed;2;2;2;incident;KM0000570;2-4-2013 10:28;10-2-2014 10:21;Software;N;257;IM0000077
SAP000005;application;SAP;WBS000271;SD0000103;Closed;5;5;5;request for information;KM0001572;3-4-2013 12:09;17-10-2013 11:44;Software;N;143;IM0000078
SAP000003;application;SAP;WBS000271;SD0000104;Closed;4;4;4;incident;KM0001163;4-4-2013 12:14;15-10-2013 8:01;Other;N;1119;IM0000080
SBA000462;application;Server Based Application;WBS000073;SD0000105;Closed;4;3;3;incident;KM0001363;5-4-2013 10:02;30-12-2013 10:40;Other;N;943;IM0000081
WBA000124;application;Web Based Application;WBS000088;SD0000106;Closed;4;4;4;incident;KM0000611;9-4-2013 12:42;8-11-2013 15:36;Software;N;376;IM0000083
SUB000456;subapplication;Web Based Application;WBS000073;SD0000107;Closed;4;4;4;incident;KM0000741;10-4-2013 9:17;30-12-2013 10:37;Data;N;245;IM0000075
WBA000082;application;Web Based Application;WBS000055;SD0000108;Closed;4;4;4;incident;KM0000401;10-4-2013 13:05;8-11-2013 15:41;No error - works as designed;N;901;IM0000084
WBA000124;application;Web Based Application;WBS000088;SD0000109;Closed;3;4;3;incident;KM0000611;10-4-2013 15:09;8-11-2013 15:46;No error - works as designed;N;252;IM0000085
SUB000286;subapplication;Server Based Application;WBS000054;SD0000110;Closed;4;4;4;request for information;KM0001616;12-4-2013 15:15;7-2-2014 12:15;No error - works as designed;N;216;IM0000079
WBA000122;application;Web Based Application;WBS000298;SD0000111;Closed;4;4;4;incident;KM0001552;15-4-2013 11:41;2-12-2013 10:55;User error;N;1079;IM0000086
CBA000014;application;Client Based Application;WBS000073;SD0000112;Closed;4;4;4;incident;KM0001346;16-4-2013 14:44;27-11-2013 14:24;Software;N;382;IM0000089
SBA000045;application;Server Based Application;WBS000170;SD0000113;Closed;5;5;5;incident;KM0000565;17-4-2013 8:59;22-1-2014 16:21;Unknown;N;415;IM0000090
SBA000172;application;Server Based Application;WBS000014;SD0000114;Closed;4;4;4;incident;KM0000426;17-4-2013 14:28;8-10-2013 11:25;Other;N;218;IM0000091
SBA000607;application;Server Based Application;WBS000263;SD0000115;Closed;5;5;5;request for information;KM0000592;17-4-2013 16:17;30-1-2014 9:20;Other;N;173;IM0000092
SUB000521;subapplication;Web Based Application;WBS000073;SD0000116;Closed;4;4;4;incident;KM0001496;17-4-2013 17:24;23-12-2013 8:59;Software;N;756;#MULTIVALUE
SUB000002;subapplication;Citrix;WBS000098;SD0000117;Closed;4;4;4;incident;KM0001435;19-4-2013 8:08;16-10-2013 12:20;Software;N;1045;IM0000094
SBA000063;application;Server Based Application;WBS000264;SD0000118;Closed;5;5;5;service request;KM0001622;19-4-2013 9:29;6-11-2013 11:59;Inquiry;N;532;
STA000033;application;Standard Application;WBS000066;SD0000119;Closed;4;4;4;incident;KM0000575;22-4-2013 12:03;29-1-2014 15:32;Software;N;215;IM0000095
SBA000767;application;Server Based Application;WBS000088;SD0000120;Closed;4;4;4;incident;KM0001126;23-4-2013 13:11;22-10-2013 9:53;Software;N;392;IM0000096
DTA000056;application;Desktop Application;WBS000091;SD0000121;Closed;4;4;4;incident;KM0001740;23-4-2013 13:37;17-12-2013 12:29;Software;N;225;IM0000097
WBA000133;application;Web Based Application;WBS000073;SD0000122;Closed;4;5;4;incident;KM0000711;24-4-2013 15:21;12-10-2013 16:29;Other;N;194;IM0000098
SSW000171;software;System Software;WBS000089;SD0000123;Closed;5;5;5;service request;KM0000433;24-4-2013 16:40;10-2-2014 9:13;;N;256;
SUB000521;subapplication;Web Based Application;WBS000073;SD0000124;Closed;4;4;4;incident;KM0001496;25-4-2013 11:24;23-12-2013 9:00;Software;N;302;#MULTIVALUE
SBA000782;application;Server Based Application;WBS000043;SD0000125;Closed;3;3;3;incident;KM0000220;25-4-2013 10:18;10-2-2014 10:13;Other;N;100;IM0000099
SUB000521;subapplication;Web Based Application;WBS000073;SD0000126;Closed;4;4;4;incident;KM0001496;25-4-2013 11:30;23-12-2013 9:00;Software;N;422;#MULTIVALUE
WBA000124;application;Web Based Application;WBS000088;SD0000127;Closed;4;4;4;incident;KM0000611;25-4-2013 14:25;12-11-2013 13:32;Other;N;676;IM0000100
WBA000116;application;Web Based Application;WBS000066;SD0000128;Closed;4;4;4;incident;KM0000579;25-4-2013 14:44;12-11-2013 13:26;Hardware;N;430;IM0000101
WBA000124;application;Web Based Application;WBS000088;SD0000129;Closed;4;4;4;incident;KM0000611;26-4-2013 15:26;12-11-2013 13:34;Other;N;388;IM0000103
DTA000056;application;Desktop Application;WBS000091;SD0000130;Closed;3;1;2;service request;KM0001309;30-4-2013 9:42;26-11-2013 10:25;Other;N;242;
WBA000124;application;Web Based Application;WBS000088;SD0000131;Closed;4;4;4;incident;KM0000611;1-5-2013 11:45;12-11-2013 13:34;Other;N;75;IM0000104
SBA000517;application;Server Based Application;WBS000131;SD0000132;Closed;4;4;4;incident;KM0000483;1-5-2013 17:25;2-1-2014 15:54;User manual not used;N;593;IM0000102
DTA000056;application;Desktop Application;WBS000091;SD0000133;Closed;3;3;3;service request;KM0001309;3-5-2013 9:25;6-1-2014 20:19;Other;N;349;
WBA000124;application;Web Based Application;WBS000088;SD0000134;Closed;3;3;3;incident;KM0000611;3-5-2013 11:50;9-1-2014 14:28;Software;N;619;IM0000105
WBA000011;application;Web Based Application;WBS000152;SD0000135;Closed;5;4;4;incident;KM0001724;6-5-2013 8:25;24-1-2014 14:09;Other;N;0;
SUB000508;subapplication;Web Based Application;WBS000162;SD0000136;Closed;4;4;4;incident;KM0000553;6-5-2013 9:56;12-11-2013 13:36;Other;N;864;IM0000106
WBA000124;application;Web Based Application;WBS000088;SD0000137;Closed;4;4;4;incident;KM0000611;6-5-2013 13:42;12-11-2013 14:04;Unknown;N;486;IM0000107
SBA000033;application;Server Based Application;WBS000086;SD0000138;Closed;4;4;4;incident;KM0000041;7-5-2013 11:22;7-1-2014 9:51;No error - works as designed;N;1313;IM0000110
SBA000458;application;Server Based Application;WBS000073;SD0000139;Closed;4;4;4;incident;KM0001539;7-5-2013 11:31;20-12-2013 15:33;Other;N;734;IM0000109
LAP000681;computer;Laptop;WBS000091;SD0000140;Closed;5;5;5;request for information;KM0001444;7-5-2013 11:56;13-11-2013 9:15;Inquiry;N;700;IM0000108
WBA000124;application;Web Based Application;WBS000088;SD0000141;Closed;4;4;4;incident;KM0000611;7-5-2013 13:52;5-12-2013 11:19;Other;N;720;IM0000111
WBA000124;application;Web Based Application;WBS000088;SD0000142;Closed;4;4;4;incident;KM0000611;7-5-2013 15:03;5-12-2013 11:16;Other;N;588;IM0000113
DTA000231;application;Desktop Application;WBS000135;SD0000143;Closed;5;5;5;request for information;KM0000549;8-5-2013 12:27;7-2-2014 12:09;Hardware;N;322;IM0000093
WBA000011;application;Web Based Application;WBS000152;SD0000144;Closed;5;5;5;incident;KM0001727;13-5-2013 10:43;14-2-2014 17:42;Software;N;119;IM0000087
WBA000124;application;Web Based Application;WBS000088;SD0000145;Closed;3;3;3;incident;KM0000611;13-5-2013 11:07;12-11-2013 13:39;Other;N;722;IM0000115
WBA000011;application;Web Based Application;WBS000152;SD0000146;Closed;5;5;5;incident;KM0001727;13-5-2013 16:49;2-1-2014 15:53;Software;N;512;IM0000087
SBA000458;application;Server Based Application;WBS000073;SD0000147;Closed;5;5;5;request for information;KM0001540;14-5-2013 10:06;7-2-2014 12:15;Other;N;255;IM0000116
CBA000014;application;Client Based Application;WBS000073;SD0000148;Closed;4;4;4;incident;KM0001574;16-5-2013 12:11;14-3-2014 14:57;;N;949;IM0000118
WBA000124;application;Web Based Application;WBS000088;SD0000150;Closed;4;4;4;incident;KM0000611;22-5-2013 10:07;12-11-2013 13:37;Other;N;71;IM0000121
WBA000124;application;Web Based Application;WBS000088;SD0000151;Closed;4;4;4;incident;KM0000611;22-5-2013 11:58;12-11-2013 14:06;Other;N;154;IM0000123
SBA000176;application;Server Based Application;WBS000311;SD0000152;Closed;3;3;3;incident;KM0001274;22-5-2013 14:23;10-10-2013 14:49;Other;N;1;IM0000125
WBA000124;application;Web Based Application;WBS000088;SD0000153;Closed;4;4;4;incident;KM0000611;22-5-2013 14:14;12-11-2013 14:06;Unknown;N;58;IM0000124
SSW000171;software;System Software;WBS000089;SD0000154;Closed;5;5;5;service request;KM0001718;22-5-2013 14:35;10-2-2014 9:16;;N;173;
WBA000124;application;Web Based Application;WBS000088;SD0000155;Closed;4;4;4;incident;KM0000611;23-5-2013 14:30;12-11-2013 13:37;Other;N;503;IM0000126
SBA000301;application;Server Based Application;WBS000142;SD0000156;Closed;4;4;4;request for information;KM0000647;27-5-2013 10:41;16-1-2014 15:13;Software;N;212;IM0000129
SUB000508;subapplication;Web Based Application;WBS000162;SD0000157;Closed;4;4;4;incident;KM0000553;27-5-2013 15:27;12-11-2013 13:41;Other;N;661;IM0000130
DTA000056;application;Desktop Application;WBS000091;SD0000159;Closed;3;3;3;service request;KM0001309;29-5-2013 8:13;25-11-2013 9:54;Other;N;271;
SAP000003;application;SAP;WBS000271;SD0000160;Closed;5;5;5;request for information;KM0001163;29-5-2013 9:09;10-10-2013 13:41;Software;N;345;IM0000132
DTA000056;application;Desktop Application;WBS000091;SD0000161;Closed;3;3;3;service request;KM0001309;30-5-2013 10:58;17-12-2013 12:31;Other;N;639;
WBA000082;application;Web Based Application;WBS000055;SD0000162;Closed;3;3;3;incident;KM0000401;31-5-2013 9:02;12-11-2013 13:44;Other;N;1092;IM0000134
SUB000508;subapplication;Web Based Application;WBS000162;SD0000163;Closed;4;4;4;incident;KM0000553;3-6-2013 10:06;12-11-2013 13:47;Other;N;173;IM0000135
WBA000082;application;Web Based Application;WBS000055;SD0000164;Closed;4;4;4;incident;KM0000401;4-6-2013 9:20;12-11-2013 13:39;Other;N;264;IM0000136
WBA000124;application;Web Based Application;WBS000088;SD0000165;Closed;4;4;4;incident;KM0000611;4-6-2013 9:55;12-11-2013 13:44;Other;N;250;IM0000137
SBA000462;application;Server Based Application;WBS000073;SD0000166;Closed;4;4;4;incident;KM0001363;4-6-2013 12:09;17-12-2013 10:05;Software;N;130;IM0000138
SBA000045;application;Server Based Application;WBS000170;SD0000167;Closed;4;4;4;incident;KM0000565;4-6-2013 16:06;29-1-2014 10:48;Unknown;N;418;IM0000139
SBA000045;application;Server Based Application;WBS000170;SD0000168;Closed;4;4;4;incident;KM0000565;4-6-2013 16:37;29-1-2014 10:48;Unknown;N;254;#MULTIVALUE
SUB000545;subapplication;Web Based Application;WBS000073;SD0000169;Closed;5;5;5;incident;KM0000795;5-6-2013 8:18;20-11-2013 16:44;Software;N;374;IM0000140
WBA000011;application;Web Based Application;WBS000152;SD0000170;Closed;5;5;5;incident;KM0001724;7-6-2013 14:27;13-1-2014 15:55;Software;N;0;IM0000144
WBA000133;application;Web Based Application;WBS000073;SD0000171;Closed;4;5;4;incident;KM0000711;10-6-2013 8:40;15-11-2013 15:28;Unknown;N;746;IM0000145
SBA000834;application;Server Based Application;WBS000223;SD0000172;Closed;4;2;3;incident;KM0001509;10-6-2013 12:23;4-12-2013 14:55;Operator error;N;291;IM0000143
