Incident ID;DateStamp;IncidentActivity_Number;IncidentActivity_Type;Assignment Group;KM number;Interaction ID
IM0000020;26-06-2013 06:24:42;001A4887219;Status Change;TEAM0003;KM0000611;SD0000042
IM0000020;25-06-2013 20:04:32;001A4885784;Update;TEAM0005;KM0000611;SD0000042
IM0000020;11-07-2013 13:55:18;001A5020800;Update from customer;TEAM0002;KM0000611;SD0000042
IM0000020;25-06-2013 20:04:32;001A4885782;Reassignment;TEAM0005;KM0000611;SD0000042
IM0000020;08-11-2013 14:17:19;001A5891865;Reassignment;TEAM0002;KM0000611;SD0000042
IM0000020;08-11-2013 14:17:20;001A5891866;Assignment;TEAM0002;KM0000611;SD0000042
IM0000020;08-11-2013 14:17:20;001A5891867;Update from customer;TEAM0002;KM0000611;SD0000042
IM0000020;08-11-2013 14:22:06;001A5891883;Closed;TEAM0003;KM0000611;SD0000042
IM0000020;08-11-2013 14:22:06;001A5891884;Caused By CI;TEAM0003;KM0000611;SD0000042
IM0000020;26-06-2013 06:24:42;001A4887217;Reassignment;TEAM0003;KM0000611;SD0000042
IM0000020;10-04-2013 12:28:28;001A4380765;Update;TEAM0005;KM0000611;SD0000042
IM0000020;26-06-2013 06:24:42;001A4887220;Operator Update;TEAM0003;KM0000611;SD0000042
IM0000020;25-06-2013 20:04:32;001A4885783;Assignment;TEAM0005;KM0000611;SD0000042
IM0000021;27-02-2013 13:26:40;001A4086539;Update from customer;TEAM0002;KM0000401;#N/B
IM0000021;27-02-2013 14:07:07;001A4086715;Caused By CI;TEAM0003;KM0000401;#N/B
IM0000021;27-02-2013 14:00:13;001A4086688;Update from customer;TEAM0002;KM0000401;#N/B
IM0000021;27-02-2013 14:00:13;001A4086686;Reassignment;TEAM0002;KM0000401;#N/B
IM0000021;27-02-2013 14:00:13;001A4086687;Assignment;TEAM0002;KM0000401;#N/B
IM0000021;27-02-2013 14:07:07;001A4086714;Closed;TEAM0003;KM0000401;#N/B
IM0000022;14-11-2013 13:33:36;001A5935284;Closed;TEAM0003;KM0000611;SD0000043
IM0000022;14-11-2013 13:32:09;001A5935283;Resolved;TEAM0003;KM0000611;SD0000043
IM0000022;12-08-2013 07:27:26;001A5214126;Update from customer;TEAM0002;KM0000611;SD0000043
IM0000022;19-04-2013 07:41:06;001A4445279;OO Response;TEAM0005;KM0000611;SD0000043
IM0000022;14-11-2013 09:46:16;001A5926635;Operator Update;TEAM0004;KM0000611;SD0000043
IM0000022;14-11-2013 09:50:37;001A5926662;Operator Update;TEAM0004;KM0000611;SD0000043
IM0000022;14-11-2013 09:45:17;001A5926631;Operator Update;TEAM0004;KM0000611;SD0000043
IM0000022;12-08-2013 07:58:04;001A5214226;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;12-08-2013 11:51:04;001A5214751;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;11-03-2013 08:25:03;001A4163000;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;21-10-2013 11:21:18;001A5729076;Reassignment;TEAM0003;KM0000611;SD0000043
IM0000022;21-10-2013 11:22:45;001A5729081;Reassignment;TEAM0003;KM0000611;SD0000043
IM0000022;21-10-2013 11:21:18;001A5729077;Assignment;TEAM0003;KM0000611;SD0000043
IM0000022;05-03-2013 08:35:03;001A4125761;Update from customer;TEAM0002;KM0000611;SD0000043
IM0000022;07-03-2013 09:44:13;001A4146108;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;12-08-2013 07:58:04;001A5214225;Assignment;TEAM0003;KM0000611;SD0000043
IM0000022;05-03-2013 14:48:17;001A4131195;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;01-03-2013 12:53:38;001A4108700;Assignment;TEAM0003;KM0000611;SD0000043
IM0000022;04-03-2013 10:50:50;001A4116411;Reassignment;TEAM0003;KM0000611;SD0000043
IM0000022;21-10-2013 11:22:45;001A5729082;Assignment;TEAM0003;KM0000611;SD0000043
IM0000022;29-04-2013 13:58:22;001A4514689;Assignment;TEAM0003;KM0000611;SD0000043
IM0000022;09-01-2013 08:34:35;001A3714734;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;04-03-2013 10:50:50;001A4116413;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;05-03-2013 08:36:09;001A4125765;Assignment;TEAM0002;KM0000611;SD0000043
IM0000022;23-10-2013 09:28:58;001A5761129;Operator Update;TEAM0004;KM0000611;SD0000043
IM0000022;12-08-2013 07:27:26;001A5214124;Reassignment;TEAM0002;KM0000611;SD0000043
IM0000022;01-03-2013 12:49:21;001A4107161;Assignment;TEAM0005;KM0000611;SD0000043
IM0000022;05-03-2013 08:36:09;001A4125766;Update from customer;TEAM0002;KM0000611;SD0000043
IM0000022;29-04-2013 13:58:22;001A4514688;Reassignment;TEAM0003;KM0000611;SD0000043
IM0000022;28-03-2013 15:24:58;001A4302537;OO Response;TEAM0005;KM0000611;SD0000043
IM0000022;05-03-2013 14:13:38;001A4131046;Assignment;TEAM0003;KM0000611;SD0000043
IM0000022;29-04-2013 13:58:22;001A4514690;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;07-03-2013 09:44:13;001A4146106;Reassignment;TEAM0003;KM0000611;SD0000043
IM0000022;07-01-2013 15:49:40;001A3699316;Operator Update;TEAM0003;KM0000611;SD0000043
IM0000022;12-08-2013 07:27:26;001A5214125;Assignment;TEAM0002;KM0000611;SD0000043
IM0000022;19-04-2013 07:41:06;001A4445278;Assignment;TEAM0005;KM0000611;SD0000043
IM0000022;01-03-2013 12:49:21;001A4107162;OO Response;TEAM0005;KM0000611;SD0000043
IM0000022;04-03-2013 10:50:50;001A4116412;Assignment;TEAM0003;KM0000611;SD0000043
IM0000022;01-03-2013 12:49:21;001A4107160;Reassignment;TEAM0005;KM0000611;SD0000043
IM0000022;07-03-2013 09:44:13;001A4146107;Assignment;TEAM0003;KM0000611;SD0000043
IM0000022;05-03-2013 08:36:09;001A4125764;Reassignment;TEAM0002;KM0000611;SD0000043
IM0000022;19-04-2013 07:41:06;001A4445277;Reassignment;TEAM0005;KM0000611;SD0000043
IM0000022;29-04-2013 14:29:09;001A4516027;Update;TEAM9999;KM0000611;SD0000043
IM0000022;19-04-2013 07:52:43;001A4445306;Assignment;TEAM0003;KM0000611;SD0000043
IM0000023;12-12-2013 10:24:45;001A6165328;Closed;TEAM0006;KM0000670;SD0000045
IM0000023;12-12-2013 10:24:45;001A6165329;Caused By CI;TEAM0006;KM0000670;SD0000045
IM0000024;01-05-2013 14:03:57;001A4527921;Assignment;TEAM0003;KM0000401;SD0000046
IM0000024;29-05-2013 14:00:40;001A4696303;Update;TEAM9999;KM0000401;SD0000046
IM0000024;13-02-2013 14:07:33;001A3972389;Operator Update;TEAM0003;KM0000401;SD0000046
IM0000024;01-05-2013 14:03:57;001A4527922;Update;TEAM0003;KM0000401;SD0000046
IM0000024;03-06-2013 06:58:17;001A4718641;Update from customer;TEAM9999;KM0000401;SD0000046
IM0000024;07-01-2013 08:25:05;001A3689845;Reassignment;TEAM0001;KM0000401;SD0000046
IM0000024;01-05-2013 14:03:57;001A4527920;Reassignment;TEAM0003;KM0000401;SD0000046
IM0000024;08-11-2013 14:39:58;001A5891954;Assignment;TEAM0002;KM0000401;SD0000046
IM0000024;08-11-2013 14:39:58;001A5891955;Update from customer;TEAM0002;KM0000401;SD0000046
IM0000024;08-11-2013 14:39:58;001A5891953;Reassignment;TEAM0002;KM0000401;SD0000046
IM0000024;08-11-2013 14:58:04;001A5889925;Caused By CI;TEAM0003;KM0000401;SD0000046
IM0000024;08-11-2013 14:58:04;001A5889924;Closed;TEAM0003;KM0000401;SD0000046
IM0000024;24-01-2013 15:57:07;001A3833031;Operator Update;TEAM0003;KM0000401;SD0000046
IM0000028;12-08-2013 12:54:28;001A5216130;Status Change;TEAM0007;KM0000852;SD0000053
IM0000028;17-04-2013 15:09:33;001A4432881;Operator Update;TEAM0007;KM0000852;SD0000053
IM0000028;01-03-2013 13:02:40;001A4107204;Update from customer;TEAM0007;KM0000852;SD0000053
IM0000028;15-08-2013 13:45:21;001A5238975;Communication with customer;TEAM0007;KM0000852;SD0000053
IM0000028;20-12-2013 11:31:09;001A6222681;Closed;TEAM0007;KM0000852;SD0000053
IM0000028;20-12-2013 11:31:09;001A6222682;Caused By CI;TEAM0007;KM0000852;SD0000053
IM0000028;19-06-2013 10:22:05;001A4837807;Operator Update;TEAM0007;KM0000852;SD0000053
IM0000028;01-03-2013 13:02:40;001A4107203;Status Change;TEAM0007;KM0000852;SD0000053
IM0000028;09-09-2013 15:27:00;001A5436856;Communication with customer;TEAM0007;KM0000852;SD0000053
IM0000028;12-08-2013 12:54:28;001A5216131;Communication with customer;TEAM0007;KM0000852;SD0000053
IM0000028;15-08-2013 13:46:06;001A5238980;Communication with customer;TEAM0007;KM0000852;SD0000053
IM0000028;01-03-2013 13:02:40;001A4107205;External Vendor Assignment;TEAM0007;KM0000852;SD0000053
IM0000028;11-11-2013 17:02:35;001A5905756;Pending vendor;TEAM0007;KM0000852;SD0000053
IM0000031;25-02-2013 12:01:35;001A4064039;Assignment;TEAM0003;KM0000928;SD0000055
IM0000031;16-05-2013 12:07:31;001A4624737;Update;TEAM0004;KM0000928;SD0000055
IM0000031;25-02-2013 12:01:35;001A4064040;Update;TEAM0003;KM0000928;SD0000055
IM0000031;25-02-2013 12:01:35;001A4064038;Reassignment;TEAM0003;KM0000928;SD0000055
IM0000031;16-05-2013 08:14:41;001A4621461;Assignment;TEAM0005;KM0000928;SD0000055
IM0000031;30-10-2013 08:45:53;001A5814957;Caused By CI;TEAM0003;KM0000928;SD0000055
IM0000031;30-10-2013 08:45:53;001A5814956;Closed;TEAM0003;KM0000928;SD0000055
IM0000031;25-02-2013 12:01:35;001A4064041;Description Update;TEAM0003;KM0000928;SD0000055
IM0000031;16-05-2013 08:14:41;001A4621460;Reassignment;TEAM0005;KM0000928;SD0000055
IM0000031;10-05-2013 15:00:00;001A4581083;OO Response;TEAM0005;KM0000928;SD0000055
IM0000031;30-04-2013 06:22:15;001A4515536;Assignment;TEAM9999;KM0000928;SD0000055
IM0000031;22-02-2013 13:02:00;001A4050789;Assignment;TEAM0003;KM0000928;SD0000055
IM0000031;22-02-2013 10:10:25;001A4049032;Reassignment;TEAM0005;KM0000928;SD0000055
IM0000031;16-05-2013 12:02:33;001A4624720;Operator Update;TEAM0004;KM0000928;SD0000055
IM0000031;31-07-2013 08:19:21;001A5147792;Update;TEAM9999;KM0000928;SD0000055
IM0000031;22-02-2013 10:10:25;001A4049033;OO Response;TEAM0005;KM0000928;SD0000055
IM0000031;11-02-2013 15:08:15;001A3957655;Update;TEAM0003;KM0000928;SD0000055
IM0000031;16-05-2013 12:07:31;001A4624736;Reassignment;TEAM0004;KM0000928;SD0000055
IM0000031;16-05-2013 08:14:41;001A4621462;OO Response;TEAM0005;KM0000928;SD0000055
IM0000033;30-11-2013 10:39:10;001A6062488;Closed;TEAM0008;KM0001430;SD0000056
IM0000034;01-03-2013 13:01:47;001A4108738;Closed;TEAM0003;KM0000401;#N/B
IM0000034;01-03-2013 13:00:06;001A4108733;Reassignment;TEAM0002;KM0000401;#N/B
IM0000034;01-03-2013 13:01:47;001A4108739;Caused By CI;TEAM0003;KM0000401;#N/B
IM0000034;01-03-2013 13:00:06;001A4108734;Assignment;TEAM0002;KM0000401;#N/B
IM0000034;01-03-2013 13:00:06;001A4108735;Update from customer;TEAM0002;KM0000401;#N/B
IM0000035;01-03-2013 12:50:30;001A4107169;OO Response;TEAM0005;KM0000611;SD0000058
IM0000035;02-04-2013 11:45:51;001A4316196;External Vendor Assignment;TEAM0003;KM0000611;SD0000058
IM0000035;04-03-2013 10:48:55;001A4116404;Operator Update;TEAM0003;KM0000611;SD0000058
IM0000035;14-11-2013 09:49:59;001A5926649;Closed;TEAM0004;KM0000611;SD0000058
IM0000035;14-11-2013 09:49:59;001A5926650;Caused By CI;TEAM0004;KM0000611;SD0000058
IM0000035;04-03-2013 10:48:55;001A4116402;Reassignment;TEAM0003;KM0000611;SD0000058
IM0000035;29-04-2013 13:59:20;001A4514691;Reassignment;TEAM0003;KM0000611;SD0000058
IM0000035;12-09-2013 15:00:01;001A5456740;Operator Update;TEAM0003;KM0000611;SD0000058
IM0000035;12-09-2013 15:00:42;001A5456745;Status Change;TEAM0003;KM0000611;SD0000058
IM0000035;12-09-2013 14:48:13;001A5456703;Assignment;TEAM0003;KM0000611;SD0000058
IM0000035;10-04-2013 13:03:50;001A4380064;Operator Update;TEAM0003;KM0000611;SD0000058
IM0000035;29-04-2013 14:29:33;001A4516033;Update;TEAM9999;KM0000611;SD0000058
IM0000035;06-03-2013 08:28:39;001A4133212;Update;TEAM9999;KM0000611;SD0000058
IM0000035;04-03-2013 10:48:55;001A4116403;Assignment;TEAM0003;KM0000611;SD0000058
IM0000035;02-04-2013 11:45:36;001A4316194;Operator Update;TEAM0003;KM0000611;SD0000058
IM0000035;01-03-2013 12:56:15;001A4108708;Assignment;TEAM0003;KM0000611;SD0000058
IM0000035;26-02-2013 08:26:07;001A4070726;Update from customer;TEAM0002;KM0000611;SD0000058
IM0000035;18-03-2013 11:00:41;001A4221663;Update from customer;TEAM0002;KM0000611;SD0000058
IM0000035;18-03-2013 11:00:41;001A4221662;Assignment;TEAM0002;KM0000611;SD0000058
IM0000035;26-02-2013 07:06:58;001A4069788;Operator Update;TEAM0003;KM0000611;SD0000058
IM0000035;29-04-2013 13:59:20;001A4514692;Assignment;TEAM0003;KM0000611;SD0000058
IM0000035;18-03-2013 11:02:21;001A4221664;Update from customer;TEAM0002;KM0000611;SD0000058
IM0000035;02-04-2013 11:45:51;001A4316195;Status Change;TEAM0003;KM0000611;SD0000058
IM0000035;22-07-2013 07:07:52;001A5088050;Update from customer;TEAM0002;KM0000611;SD0000058
IM0000035;29-04-2013 13:59:20;001A4514693;Operator Update;TEAM0003;KM0000611;SD0000058
IM0000035;01-03-2013 12:50:30;001A4107168;Assignment;TEAM0005;KM0000611;SD0000058
IM0000035;12-09-2013 09:46:35;001A5452146;Reassignment;TEAM0002;KM0000611;SD0000058
IM0000035;12-09-2013 09:46:35;001A5452148;Update from customer;TEAM0002;KM0000611;SD0000058
IM0000035;12-09-2013 12:08:32;001A5454072;Assignment;TEAM0003;KM0000611;SD0000058
IM0000035;12-09-2013 09:46:35;001A5452147;Assignment;TEAM0002;KM0000611;SD0000058
IM0000035;01-03-2013 12:50:30;001A4107167;Reassignment;TEAM0005;KM0000611;SD0000058
IM0000035;18-03-2013 11:08:56;001A4219626;Assignment;TEAM0003;KM0000611;SD0000058
IM0000035;18-03-2013 11:00:41;001A4221661;Reassignment;TEAM0002;KM0000611;SD0000058
IM0000038;08-02-2013 10:10:55;001A3942965;Operator Update;TEAM0003;KM0000579;SD0000063
IM0000038;14-02-2013 15:29:59;001A3986228;Communication with customer;TEAM0003;KM0000579;SD0000063
IM0000038;06-02-2013 14:36:34;001A3926999;Update;TEAM0003;KM0000579;SD0000063
IM0000038;16-01-2013 09:42:24;001A3770227;Operator Update;TEAM0003;KM0000579;SD0000063
IM0000038;06-08-2013 12:18:52;001A5186671;Operator Update;TEAM0003;KM0000579;SD0000063
IM0000038;17-06-2013 12:42:19;001A4821137;External Vendor Assignment;TEAM0003;KM0000579;SD0000063
IM0000038;15-01-2013 15:06:12;001A3767761;Operator Update;TEAM0003;KM0000579;SD0000063
IM0000038;13-03-2013 15:35:20;001A4192584;Communication with customer;TEAM0003;KM0000579;SD0000063
